Time mz Intensity Source
227.49 1673.88831538825 0.00130558929859528 Experiment
227.49 1673.89585616689 0.00132195991178321 Experiment
227.49 1673.90339694553 0.00133754324625956 Experiment
227.49 1673.91093772417 0.00135238593214268 Experiment
227.49 1673.91847850281 0.00136653459955046 Experiment
227.49 1673.92601928145 0.0013800358786022 Experiment
227.49 1673.93356006009 0.00139293639941575 Experiment
227.49 1673.94110083872 0.00140528279210948 Experiment
227.49 1673.94864161736 0.00141712168680149 Experiment
227.49 1673.956182396 0.00142849971361061 Experiment
227.49 1673.96372317464 0.00143946350265493 Experiment
227.49 1673.97126395328 0.00145005968405282 Experiment
227.49 1673.97880473192 0.00146033488792225 Experiment
227.49 1673.98634551056 0.00147033574438231 Experiment
227.49 1673.9938862892 0.00148010888355097 Experiment
227.49 1674.00142706784 0.00148970093554658 Experiment
227.49 1674.00896784648 0.00149915853048716 Experiment
227.49 1674.01650862512 0.00150852829849172 Experiment
227.49 1674.02404940375 0.00151785686967828 Experiment
227.49 1674.03159018239 0.00152719087416519 Experiment
227.49 1674.03913096103 0.00153657694207064 Experiment
227.49 1674.04667173967 0.00154606170351328 Experiment
227.49 1674.05421251831 0.00155569178861131 Experiment
227.49 1674.06175329695 0.00156551382748308 Experiment
227.49 1674.06929407559 0.00157557445024657 Experiment
227.49 1674.07683485423 0.00158592028702085 Experiment
227.49 1674.08437563287 0.00159659796792391 Experiment
227.49 1674.09191641151 0.00160765412307371 Experiment
227.49 1674.09945719015 0.00161913538258937 Experiment
227.49 1674.10699796878 0.00163108837658885 Experiment
227.49 1674.11453874742 0.00164355973519051 Experiment
227.49 1674.12207952606 0.00165659608851243 Experiment
227.49 1674.1296203047 0.00167024406667347 Experiment
227.49 1674.13716108334 0.00168455029979173 Experiment
227.49 1674.14470186198 0.00169956141798555 Experiment
227.49 1674.15224264062 0.00171490347695113 Experiment
227.49 1674.15978341926 0.00172957165774849 Experiment
227.49 1674.1673241979 0.00174355579983413 Experiment
227.49 1674.17486497654 0.00175689524128279 Experiment
227.49 1674.18240575518 0.00176962932016882 Experiment
227.49 1674.18994653382 0.00178179737456783 Experiment
227.49 1674.19748731245 0.00179343874255413 Experiment
227.49 1674.20502809109 0.00180459276220248 Experiment
227.49 1674.21256886973 0.00181529877158745 Experiment
227.49 1674.22010964837 0.00182559610878417 Experiment
227.49 1674.22765042701 0.00183552411186721 Experiment
227.49 1674.23519120565 0.00184512211891131 Experiment
227.49 1674.24273198429 0.0018544294679909 Experiment
227.49 1674.25027276293 0.0018634854971814 Experiment
227.49 1674.25781354157 0.00187232954455723 Experiment
227.49 1674.26535432021 0.00188100094819314 Experiment
227.49 1674.27289509885 0.00188953904616358 Experiment
227.49 1674.28043587748 0.00189798317654393 Experiment
227.49 1674.28797665612 0.00190637267740862 Experiment
227.49 1674.29551743476 0.00191474688683242 Experiment
227.49 1674.3030582134 0.00192314514288994 Experiment
227.49 1674.31059899204 0.0019316067836562 Experiment
227.49 1674.31813977068 0.00194017114720583 Experiment
227.49 1674.32568054932 0.00194887757161324 Experiment
227.49 1674.33322132796 0.00195776539495385 Experiment
227.49 1674.3407621066 0.00196687395530208 Experiment
227.49 1674.34830288524 0.0019762425907327 Experiment
227.49 1674.35584366388 0.0019859106393201 Experiment
227.49 1674.36338444251 0.00199591743913973 Experiment
227.49 1674.37092522115 0.002006302328266 Experiment
227.49 1674.37846599979 0.00201710464477368 Experiment
227.49 1674.38600677843 0.00202836372673729 Experiment
227.49 1674.39354755707 0.00204011891223201 Experiment
227.49 1674.40108833571 0.0020524095393324 Experiment
227.49 1674.40862911435 0.0020652749461132 Experiment
227.49 1674.41616989299 0.00207875447064869 Experiment
227.49 1674.42371067163 0.00209288745101457 Experiment
227.49 1674.43125145027 0.00210771322528513 Experiment
227.49 1674.43879222891 0.00212327113153512 Experiment
227.49 1674.44633300754 0.00213960050783873 Experiment
227.49 1674.45387378618 0.00215664916550788 Experiment
227.49 1674.46141456482 0.0021743031061087 Experiment
227.49 1674.46895534346 0.00219253334526399 Experiment
227.49 1674.4764961221 0.00221131110165445 Experiment
227.49 1674.48403690074 0.00223060759396264 Experiment
227.49 1674.49157767938 0.00225039404086928 Experiment
227.49 1674.49911845802 0.00227064166105568 Experiment
227.49 1674.50665923666 0.00229132167320267 Experiment
227.49 1674.5142000153 0.00231240529599256 Experiment
227.49 1674.52174079394 0.00233386374810619 Experiment
227.49 1674.52928157258 0.00235566824822487 Experiment
227.49 1674.53682235121 0.0023777900150292 Experiment
227.49 1674.54436312985 0.00240020026720195 Experiment
227.49 1674.55190390849 0.00242287022342372 Experiment
227.49 1674.55944468713 0.0024457711023751 Experiment
227.49 1674.56698546577 0.00246887412273889 Experiment
227.49 1674.57452624441 0.00249215050319567 Experiment
227.49 1674.58206702305 0.00251557146242677 Experiment
227.49 1674.58960780169 0.00253910821911293 Experiment
227.49 1674.59714858033 0.00256273199193662 Experiment
227.49 1674.60468935897 0.0025864139995786 Experiment
227.49 1674.61223013761 0.00261012546072019 Experiment
227.49 1674.61977091624 0.00263383759404193 Experiment
227.49 1674.62731169488 0.00265752161822669 Experiment
227.49 1674.63485247352 0.00268114875195503 Experiment
227.49 1674.64239325216 0.00270469021390827 Experiment
227.49 1674.6499340308 0.00272811722276697 Experiment
227.49 1674.65747480944 0.00275140099721397 Experiment
227.49 1674.66501558808 0.00277451275592984 Experiment
227.49 1674.67255636672 0.0027974237175959 Experiment
227.49 1674.68009714536 0.00282010510089292 Experiment
227.49 1674.687637924 0.00284252812450333 Experiment
